,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,web-scraper-order,web-scraper-start-url,img,title,date,location,created_in,year,id,hm,entropy,month_parsed,year_parsed,parsed_date,avg_brightness,time_js
0,0,0,0,0,1591721298-8579,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Vincent_van_Gogh_-_Veld_met_bloemen_bij_Arles_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Veld_met_bloemen_bij_Arles_-_Google_Art_Project.jpg,View of Arles with Irises in the Foreground,May 1888,"Van Gogh Museum, Amsterdam",Arles,[1888],1591721298-8579,4.145003519929463,20.870559646339224,['May'],[1888],"[datetime.datetime(1888, 5, 1, 0, 0)]",136.83303389953542,[-2577225600000.0]
1,1,1,1,1,1591721298-8586,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Van_Gogh_-_Stillleben_mit_Flasche%2C_Zitronen_und_Orangen.jpeg/1024px-Van_Gogh_-_Stillleben_mit_Flasche%2C_Zitronen_und_Orangen.jpeg,"Still Life: Bottle, Lemons and Oranges",May 1888,"Kröller-Müller Museum, Otterlo",Arles,[1888],1591721298-8586,5.574271043944273,20.86955305041897,['May'],[1888],"[datetime.datetime(1888, 5, 1, 0, 0)]",169.09677400802414,[-2577225600000.0]
2,2,2,2,2,1591721298-8897,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Vincent_van_Gogh_-_Dr_Paul_Gachet_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Dr_Paul_Gachet_-_Google_Art_Project.jpg,Portrait of Dr. Gachet,June 1890,"Musée d'Orsay, Paris",Auvers-sur-Oise,[1890],1591721298-8897,5.8016458709041645,20.846446690184546,['June'],[1890],"[datetime.datetime(1890, 6, 1, 0, 0)]",126.9700087510146,[-2511475200000.0]
3,3,3,3,3,1591721298-8520,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Vincent_van_Gogh_-_Bridges_across_the_Seine_at_Asnieres.jpg/1024px-Vincent_van_Gogh_-_Bridges_across_the_Seine_at_Asnieres.jpg,Bridges across the Seine at Asnières,1887,"Foundation E.G. Bührle, Zürich",Paris,[1887],1591721298-8520,9.649514341898383,20.841707577972016,[],[1887],"[datetime.datetime(1887, 1, 1, 0, 0)]",152.10129136305588,[-2619216000000.0]
4,4,4,4,4,1591721298-8261,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Van_Gogh_-_Bauernhaus1.jpeg/1024px-Van_Gogh_-_Bauernhaus1.jpeg,Cottage,June-July 1885,Private collection,Nuenen,[1885],1591721298-8261,1.7825604450660415,20.828660818699678,"['June', 'July']",[1885],"[datetime.datetime(1885, 6, 1, 0, 0), datetime.datetime(1885, 7, 1, 0, 0)]",177.63838725510038,"[-2669241600000.0, -2666649600000.0]"
5,5,5,5,5,1591721298-8662,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Vincent_Willem_van_Gogh_030.jpg/1024px-Vincent_Willem_van_Gogh_030.jpg,The Trinquetaille Bridge,October 1888,Private collection,Arles,[1888],1591721298-8662,11.551746451272821,20.865858143195805,['October'],[1888],"[datetime.datetime(1888, 10, 1, 0, 0)]",123.40188928652795,[-2564006400000.0]
6,6,6,6,6,1591721298-8765,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Vincent_Willem_van_Gogh_102.jpg/1024px-Vincent_Willem_van_Gogh_102.jpg,Self-portrait without beard,September 1889,Private collection,Saint-Rémy,[1889],1591721298-8765,5.001785699688512,20.86167085241313,['September'],[1889],"[datetime.datetime(1889, 9, 1, 0, 0)]",141.76167999148834,[-2535062400000.0]
7,7,7,7,7,1591721298-8528,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg/1024px-Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg,Chrysanthemums and Wild Flowers in a Vase,1887,"Metropolitan Museum of Art, New York",Paris,[1887],1591721298-8528,9.647104032300986,20.58587143918892,[],[1887],"[datetime.datetime(1887, 1, 1, 0, 0)]",100.94352067865134,[-2619216000000.0]
8,8,8,8,8,1591721298-8943,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg/1024px-Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg,Two Women Crossing the Fields,July 1890,"McNay Art Museum, San Antonio",Auvers-sur-Oise,[1890],1591721298-8943,4.369061341354725,20.87024565295133,['July'],[1890],"[datetime.datetime(1890, 7, 1, 0, 0)]",172.89320945359535,[-2508883200000.0]
9,9,9,9,9,1591721298-8903,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Van_gogh_the_little_stream_f_740_jh_2022.jpg/1024px-Van_gogh_the_little_stream_f_740_jh_2022.jpg,The Little Stream,June 1890,Private collection,Auvers-sur-Oise,[1890],1591721298-8903,5.248937429634811,20.845313084923955,['June'],[1890],"[datetime.datetime(1890, 6, 1, 0, 0)]",113.24773123144789,[-2511475200000.0]
10,10,10,10,10,1591721298-8800,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg/1024px-%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg,"The Man is at Sea, after Demont-Breton",October 1889,Private collection,Saint-Rémy,[1889],1591721298-8800,11.036496237435813,20.869000370571435,['October'],[1889],"[datetime.datetime(1889, 10, 1, 0, 0)]",120.76923726248137,[-2532470400000.0]
