,web-scraper-order,web-scraper-start-url,img,title,date,location,created_in,year
0,1591721298-8579,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Vincent_van_Gogh_-_Veld_met_bloemen_bij_Arles_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Veld_met_bloemen_bij_Arles_-_Google_Art_Project.jpg,View of Arles with Irises in the Foreground,May 1888,"Van Gogh Museum, Amsterdam",Arles,[1888]
1,1591721298-8586,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Van_Gogh_-_Stillleben_mit_Flasche%2C_Zitronen_und_Orangen.jpeg/1024px-Van_Gogh_-_Stillleben_mit_Flasche%2C_Zitronen_und_Orangen.jpeg,"Still Life: Bottle, Lemons and Oranges",May 1888,"Kröller-Müller Museum, Otterlo",Arles,[1888]
2,1591721298-8897,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Vincent_van_Gogh_-_Dr_Paul_Gachet_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Dr_Paul_Gachet_-_Google_Art_Project.jpg,Portrait of Dr. Gachet,June 1890,"Musée d'Orsay, Paris",Auvers-sur-Oise,[1890]
3,1591721298-8520,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Vincent_van_Gogh_-_Bridges_across_the_Seine_at_Asnieres.jpg/1024px-Vincent_van_Gogh_-_Bridges_across_the_Seine_at_Asnieres.jpg,Bridges across the Seine at Asnières,1887,"Foundation E.G. Bührle, Zürich",Paris,[1887]
4,1591721298-8261,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Van_Gogh_-_Bauernhaus1.jpeg/1024px-Van_Gogh_-_Bauernhaus1.jpeg,Cottage,June-July 1885,Private collection,Nuenen,[1885]
5,1591721298-8662,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Vincent_Willem_van_Gogh_030.jpg/1024px-Vincent_Willem_van_Gogh_030.jpg,The Trinquetaille Bridge,October 1888,Private collection,Arles,[1888]
6,1591721298-8765,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Vincent_Willem_van_Gogh_102.jpg/1024px-Vincent_Willem_van_Gogh_102.jpg,Self-portrait without beard,September 1889,Private collection,Saint-Rémy,[1889]
7,1591721298-8528,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg/1024px-Vincent_van_Gogh_-_Boeket_bloemen_in_een_vaas.jpg,Chrysanthemums and Wild Flowers in a Vase,1887,"Metropolitan Museum of Art, New York",Paris,[1887]
8,1591721298-8943,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg/1024px-Van_Gogh_-_Zwei_M%C3%A4dchen_beim_Spaziergang_entlang_der_Felder.jpeg,Two Women Crossing the Fields,July 1890,"McNay Art Museum, San Antonio",Auvers-sur-Oise,[1890]
9,1591721298-8903,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Van_gogh_the_little_stream_f_740_jh_2022.jpg/1024px-Van_gogh_the_little_stream_f_740_jh_2022.jpg,The Little Stream,June 1890,Private collection,Auvers-sur-Oise,[1890]
10,1591721298-8800,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg/1024px-%22L%27homme_est_en_mer%22%2C_Vincent_van_Gogh%2C_d%27apr%C3%A8s_Virginie_Demont-Breton.jpg,"The Man is at Sea, after Demont-Breton",October 1889,Private collection,Saint-Rémy,[1889]
11,1591721298-8582,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/The_Langlois_Bridge_at_Arles_-_My_Dream.jpg/1024px-The_Langlois_Bridge_at_Arles_-_My_Dream.jpg,Langlois Bridge at Arles,May 1888,"Wallraf–Richartz Museum, Cologne",Arles,[1888]
12,1591721298-8758,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg/1024px-Kreupelhout_-_s0051V1962_-_Van_Gogh_Museum.jpg,Tree Trunks with Ivy,July 1889,"Van Gogh Museum, Amsterdam",Saint-Rémy,[1889]
13,1591721298-8768,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg,Self-Portrait,September 1889,"Musée d'Orsay, Paris",Saint-Rémy,[1889]
14,1591721298-8264,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg/1024px-Vincent_van_Gogh_-_B%C3%A4uerin_beim_Umgraben.jpg,Peasant Woman Sitting on a Chair,July 1885,"Art Gallery of Ontario, Toronto",Nuenen,[1885]
15,1591721298-8221,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg/1024px-Van_gogh_peasant_woman_darning_stockings_f157_jh712.jpg,Peasant Woman Darning Stockings,March 1885,Private collection,Nuenen,[1885]
16,1591721298-9150,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Snowy_Yard_jh_342.jpg/1024px-Snowy_Yard_jh_342.jpg,Snowy Yard,21-28 March 1883,"Van Gogh Museum, Amsterdam",The Hague,[1883]
17,1591721298-8834,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg/1024px-Van_Gogh_-_Landschaft_mit_Olivenbaum_und_Bergkette_im_Hintergrund.jpeg,Landscape with Olive Tree and Mountains in the Background,December 1889,Private collection,Saint-Rémy,[1889]
18,1591721298-8370,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Van_Gogh_-_Vase_mit_Gladiolen_und_Flieder.jpeg/1024px-Van_Gogh_-_Vase_mit_Gladiolen_und_Flieder.jpeg,Vase with Gladioli and Lilac,1886,Private collection,Paris,[1886]
19,1591721298-9159,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cemetery_jh_396.jpg/1024px-Cemetery_jh_396.jpg,Cemetery,17 September 1883,"Van Gogh Museum, Amsterdam",Drenthe,[1883]
