,month,year,letter_id
0,['September'],1872,let001
1,['December'],1872,let002
2,['January'],1873,let003
3,['January'],1873,let004
4,['March'],1873,let005
5,['March'],1873,let006
6,['May'],1873,let007
7,['May'],1873,let008
8,['June'],1873,let009
9,['July'],1873,let010
10,['July'],1873,let011
11,['August'],1873,let012
12,['September'],1873,let013
13,"['October', 'October']",1873,let014
14,['November'],1873,let015
15,['November'],1873,let016
16,['January'],1874,let017
17,['February'],1874,let018
18,['February'],1874,let019
19,['March'],1874,let020
20,['March'],1874,let021
21,['April'],1874,let022
22,['June'],1874,let023
23,['July'],1874,let024
24,['July'],1874,let025
25,['July'],1874,let026
26,['July'],1874,let027
27,['August'],1874,let028
28,"['January', 'March']",1875,let029
29,['March'],1875,let030
30,['April'],1875,let031
31,['April'],1875,let032
32,['May'],1875,let033
33,['May'],1875,let034
34,['June'],1875,let035
35,['June'],1875,let036
36,['July'],1875,let037
37,['July'],1875,let038
38,['July'],1875,let039
39,['August'],1875,let040
40,"['August', 'September']",1875,let041
41,['September'],1875,let042
42,['September'],1875,let043
43,['September'],1875,let044
44,['September'],1875,let045
45,['September'],1875,let046
46,['September'],1875,let047
47,['September'],1875,let048
48,['September'],1875,let049
49,['September'],1875,let050
50,['September'],1875,let051
51,['September'],1875,let052
52,['September'],1875,let053
53,['October'],1875,let054
54,['October'],1875,let055
55,['October'],1875,let056
56,['November'],1875,let057
57,['November'],1875,let058
58,['December'],1875,let059
59,['December'],1875,let060
60,['December'],1875,let061
61,['December'],1875,let062
62,['December'],1875,let063
63,['December'],1875,let064
64,['January'],1876,let065
65,['January'],1876,let066
66,['January'],1876,let067
67,['February'],1876,let068
68,['February'],1876,let069
69,['February'],1876,let070
70,['March'],1876,let071
71,['March'],1876,let072
72,['March'],1876,let073
73,['April'],1876,let074
74,['April'],1876,let075
75,['April'],1876,let076
76,['April'],1876,let077
77,['April'],1876,let078
78,['April'],1876,let079
79,['May'],1876,let080
80,['May'],1876,let081
81,['May'],1876,let082
82,['May'],1876,let083
83,['June'],1876,let084
84,['July'],1876,let085
85,['July'],1876,let086
86,['August'],1876,let087
87,['August'],1876,let088
88,['August'],1876,let089
89,['September'],1876,let090
90,['September'],1876,let091
91,['October'],1876,let092
92,['October'],1876,let093
93,['October'],1876,let094
94,['October'],1876,let095
95,['November'],1876,let096
96,['November'],1876,let097
97,['November'],1876,let098
98,['November'],1876,let099
99,['December'],1876,let100
100,['January'],1877,let101
101,['February'],1877,let102
102,['February'],1877,let103
103,['February'],1877,let104
104,['March'],1877,let105
105,['March'],1877,let106
106,['March'],1877,let107
107,['March'],1877,let108
108,['March'],1877,let109
109,['April'],1877,let110
110,['April'],1877,let111
111,['April'],1877,let112
112,['April'],1877,let113
113,['May'],1877,let114
114,['May'],1877,let115
115,['May'],1877,let116
116,['May'],1877,let117
117,['May'],1877,let118
118,['June'],1877,let119
119,['June'],1877,let120
120,['July'],1877,let121
121,['July'],1877,let122
122,['July'],1877,let123
123,['August'],1877,let124
124,['August'],1877,let125
125,['August'],1877,let126
126,['August'],1877,let127
127,['August'],1877,let128
128,['September'],1877,let129
129,['September'],1877,let130
130,['September'],1877,let131
131,['October'],1877,let132
132,['October'],1877,let133
133,['November'],1877,let134
134,['November'],1877,let135
135,['December'],1877,let136
136,['December'],1877,let137
137,['December'],1877,let138
138,['January'],1878,let139
139,['February'],1878,let140
140,['February'],1878,let141
141,['March'],1878,let142
142,['April'],1878,let143
143,['May'],1878,let144
144,['July'],1878,let145
145,['August'],1878,let146
146,['August'],1878,let147
147,['November'],1878,let148
148,['December'],1878,let149
149,['March'],1879,let150
150,['April'],1879,let151
151,['June'],1879,let152
152,['August'],1879,let153
153,['August'],1879,let154
154,['June'],1880,let155
155,['August'],1880,let156
156,['September'],1880,let157
157,['September'],1880,let158
158,['October'],1880,let159
159,['November'],1880,let160
160,"['December', 'January']",1880,let161
161,['January'],1881,let162
162,['February'],1881,let163
163,['April'],1881,let164
164,['April'],1881,let165
165,"['April', 'May']",1881,let166
166,['May'],1881,let167
167,['June'],1881,let168
168,['July'],1881,let169
169,['August'],1881,let170
170,['August'],1881,let171
171,['September'],1881,let172
172,['October'],1881,let173
173,['October'],1881,let174
174,['October'],1881,let175
175,['October'],1881,let176
176,['October'],1881,let177
177,['November'],1881,let178
178,['November'],1881,let179
179,['November'],1881,let180
180,['November'],1881,let181
181,['November'],1881,let182
182,['November'],1881,let183
183,['November'],1881,let184
184,['November'],1881,let185
185,['November'],1881,let186
186,['November'],1881,let187
187,['November'],1881,let188
188,['November'],1881,let189
189,['November'],1881,let190
